Sample,DO,Cond,ph,Temp,Turb
1,10.46,486,8.23,23.59,11.4
2,10.77,484,8.23,23.88,10.6
3,11,483,8.24,24.12,10.6
4,10.66,482,8.24,24.25,10.6
5,10.75,482,8.24,24.36,10.3
6,11.05,482,8.32,24.44,10.7
7,10.9,481,8.3,24.41,10.1
8,10.64,481,8.24,24.29,9.8
9,10.36,482,8.6,24.18,11.6
10,10.06,482,8.4,24.01,10.7
11,9.66,483,8.24,23.8,10.8
12,9.39,483,8.19,23.64,10
13,9.12,483,8.09,23.5,9.9
14,8.91,484,8.07,23.37,9.4
15,8.71,484,8.06,23.26,8.9
16,8.58,484,8.06,23.16,8.7
17,8.47,484,8.03,23.07,8.4
18,8.39,484,8.03,23.01,8.5
19,8.28,484,8.02,22.96,8.1
20,8.21,484,8.01,22.91,8
21,8.16,484,8.02,22.88,7.9
22,8.15,484,8.01,22.86,8
23,8.19,485,8.01,22.82,8.1
24,8.08,485,8.01,22.81,8.1
25,8.06,485,8.01,22.79,7.7
26,8.05,485,8,22.78,7.9
27,8.02,485,8,22.78,7.9
28,8.05,486,8,22.76,7.9
29,7.97,486,8,22.76,8.1
30,7.93,486,8,22.75,8.3
31,7.9,486,8,22.74,8
32,7.85,487,8,22.71,8.3
33,7.85,487,7.99,22.68,8.5
34,7.75,487,7.99,22.65,9
35,7.7,488,7.99,22.62,9.5
36,7.66,488,7.98,22.6,9.7
37,7.66,488,7.98,22.58,9.7
38,7.69,488,7.98,22.56,10.1
39,7.72,489,7.99,22.58,10.3
40,7.87,489,8,22.67,10.7
41,8.09,489,8.02,22.76,10.6
42,8.22,489,8.03,22.86,10.5
43,8.47,489,8.05,23.02,10.8
44,8.79,489,8.07,23.08,10.5
45,8.99,489,8.09,23.15,11.1
46,9.22,489,8.11,23.23,10.8
47,9.49,489,8.13,23.37,11.1
48,9.8,489,8.15,23.52,10.6
49,10.22,488,8.17,23.79,10.8
50,10.43,489,8.19,23.96,11.2
51,10.66,489,8.21,24.1,11.1
52,10.78,489,8.21,24.21,10.8
53,10.85,489,8.22,24.29,11.4
54,10.81,489,8.22,24.36,11.2
55,10.6,489,8.21,24.36,11.1
56,10.48,490,8.2,24.35,11.5
57,10.45,490,8.19,24.29,11
58,10.23,490,8.18,24.2,11.4
59,9.92,491,8.15,24.07,11.3
60,9.65,491,8.13,23.98,10.8
61,9.38,492,8.1,23.86,10.2
62,9.1,492,8.09,23.77,10.1
63,8.85,493,8.08,23.67,9.4
64,8.69,493,8.11,23.6,9.1
65,8.5,493,8.24,23.51,9
